SSN,ShowDate
20,1965-12-18
21,1966-00-00
28,1966-01-07
29,1966-01-08
30,1966-01-13
36,1966-01-28
42,1966-02-06
43,1966-02-12
50,1966-03-12
51,1966-03-19
52,1966-03-25
53,1966-04-22
55,1966-04-24
56,1966-05-07
58,1966-05-19
61,1966-05-29
64,1966-06-03
73,1966-07-00
74,1966-07-03
78,1966-07-15
79,1966-07-16
80,1966-07-17
81,1966-07-29
82,1966-07-30
83,1966-07-31
93,1966-09-00
97,1966-09-11
115,1966-10-23
118,1966-10-31
124,1966-11-19
128,1966-11-29
130,1966-12-01
140,1966-12-23
141,1966-12-24
142,1966-12-28
154,1967-01-14
176,1967-03-18
189,1967-04-09
192,1967-04-12
196,1967-04-28
197,1967-04-29
204,1967-05-12
205,1967-05-18
208,1967-05-29
210,1967-06-01
217,1967-06-06
218,1967-06-07
229,1967-06-18
231,1967-06-21
232,1967-06-28
233,1967-07-02
234,1967-07-03
241,1967-07-18
243,1967-07-22
244,1967-07-23
245,1967-07-31
250,1967-08-04
251,1967-08-05
252,1967-08-05
253,1967-08-06
254,1967-08-06
259,1967-08-19
262,1967-08-28
263,1967-09-03
264,1967-09-04
268,1967-09-15
273,1967-09-29
274,1967-09-30
277,1967-10-01
278,1967-10-14
281,1967-10-22
282,1967-10-31
283,1967-11-10
284,1967-11-11
286,1967-12-08
292,1967-12-26
293,1967-12-27
294,1968-00-00
295,1968-01-17
296,1968-01-20
297,1968-01-26
298,1968-01-27
300,1968-01-30
301,1968-02-02
302,1968-02-03
304,1968-02-14
307,1968-02-17
308,1968-02-22
309,1968-02-23
310,1968-02-24
313,1968-03-02
314,1968-03-03
315,1968-03-08
319,1968-03-11
321,1968-03-16
322,1968-03-17
324,1968-03-20
326,1968-03-29
327,1968-03-30
328,1968-03-31
329,1968-04-03
336,1968-04-21
340,1968-05-03
341,1968-05-04
342,1968-05-05
348,1968-05-09
351,1968-05-17
352,1968-05-18
354,1968-05-21
355,1968-05-24
356,1968-05-25
364,1968-06-07
367,1968-06-14
368,1968-06-14
370,1968-06-15
371,1968-06-19
378,1968-08-04
380,1968-08-20
381,1968-08-21
382,1968-08-22
383,1968-08-23
384,1968-08-24
388,1968-09-01
389,1968-09-02
396,1968-09-20
398,1968-09-22
406,1968-10-08
408,1968-10-10
409,1968-10-11
410,1968-10-12
411,1968-10-13
414,1968-10-20
416,1968-10-29
417,1968-10-30
419,1968-11-01
426,1968-11-10
427,1968-11-15
431,1968-11-22
432,1968-11-25
433,1968-11-27
435,1968-11-29
437,1968-11-30
439,1968-12-01
441,1968-12-07
442,1968-12-13
444,1968-12-20
445,1968-12-21
446,1968-12-24
447,1968-12-28
448,1968-12-29
449,1968-12-31
451,1969-01-03
453,1969-01-05
456,1969-01-17
457,1969-01-18
460,1969-01-24
461,1969-01-25
462,1969-01-26
465,1969-02-02
467,1969-02-04
468,1969-02-05
469,1969-02-06
470,1969-02-07
471,1969-02-07
474,1969-02-11
475,1969-02-11
477,1969-02-12
478,1969-02-14
479,1969-02-15
480,1969-02-19
481,1969-02-21
482,1969-02-22
486,1969-02-27
487,1969-02-28
488,1969-03-01
489,1969-03-02
492,1969-03-15
495,1969-03-22
498,1969-03-27
499,1969-03-28
500,1969-03-29
501,1969-04-04
502,1969-04-05
503,1969-04-06
504,1969-04-11
506,1969-04-12
507,1969-04-13
508,1969-04-15
509,1969-04-17
510,1969-04-18
511,1969-04-20
512,1969-04-21
513,1969-04-22
514,1969-04-23
515,1969-04-25
516,1969-04-26
517,1969-04-27
518,1969-05-02
519,1969-05-03
520,1969-05-03
521,1969-05-07
522,1969-05-09
523,1969-05-10
524,1969-05-11
525,1969-05-16
526,1969-05-23
527,1969-05-24
528,1969-05-28
529,1969-05-29
530,1969-05-30
531,1969-05-31
532,1969-06-05
533,1969-06-06
534,1969-06-07
535,1969-06-08
536,1969-06-11
537,1969-06-13
538,1969-06-14
539,1969-06-20
540,1969-06-20
541,1969-06-21
542,1969-06-21
543,1969-06-22
544,1969-06-27
545,1969-06-28
547,1969-07-03
548,1969-07-04
549,1969-07-05
551,1969-07-07
552,1969-07-08
554,1969-07-11
555,1969-07-12
558,1969-08-02
559,1969-08-03
560,1969-08-16
562,1969-08-21
563,1969-08-23
564,1969-08-28
565,1969-08-29
566,1969-08-30
567,1969-09-01
568,1969-09-06
570,1969-09-26
571,1969-09-26
572,1969-09-27
573,1969-09-27
575,1969-09-29
576,1969-09-30
581,1969-10-03
583,1969-10-05
584,1969-10-24
585,1969-10-25
586,1969-10-26
587,1969-10-31
588,1969-11-01
589,1969-11-02
590,1969-11-07
591,1969-11-08
592,1969-11-15
593,1969-11-21
596,1969-12-04
597,1969-12-05
598,1969-12-07
599,1969-12-10
600,1969-12-11
601,1969-12-12
602,1969-12-13
604,1969-12-19
605,1969-12-20
606,1969-12-21
608,1969-12-26
609,1969-12-28
610,1969-12-29
611,1969-12-30
612,1969-12-31
613,1970-00-00
614,1970-01-02
615,1970-01-02
616,1970-01-03
617,1970-01-03
618,1970-01-10
619,1970-01-16
620,1970-01-17
621,1970-01-18
622,1970-01-23
623,1970-01-24
624,1970-01-30
625,1970-01-31
626,1970-02-01
627,1970-02-02
629,1970-02-04
630,1970-02-05
631,1970-02-06
632,1970-02-07
634,1970-02-08
635,1970-02-11
636,1970-02-11
638,1970-02-13
639,1970-02-13
640,1970-02-14
641,1970-02-14
643,1970-02-21
645,1970-02-23
646,1970-02-27
647,1970-02-28
648,1970-03-01
649,1970-03-07
650,1970-03-08
651,1970-03-17
652,1970-03-20
653,1970-03-20
654,1970-03-21
655,1970-03-21
658,1970-03-24
659,1970-04-03
660,1970-04-09
661,1970-04-10
662,1970-04-11
663,1970-04-12
664,1970-04-15
665,1970-04-17
666,1970-04-18
667,1970-04-19
668,1970-04-24
669,1970-04-25
670,1970-04-26
671,1970-05-01
672,1970-05-02
673,1970-05-03
674,1970-05-06
675,1970-05-07
676,1970-05-08
677,1970-05-09
678,1970-05-10
679,1970-05-14
680,1970-05-15
681,1970-05-15
682,1970-05-16
683,1970-05-24
684,1970-06-04
685,1970-06-05
686,1970-06-06
687,1970-06-07
688,1970-06-12
689,1970-06-13
691,1970-06-21
692,1970-06-24
693,1970-06-24
694,1970-06-27
696,1970-06-28
